cell_name,cell_idx,drug_name,drug_idx,IC50
L-1236,146,VX-11e,386,2.777858
HARA,383,EPZ004777,135,5.303861
EFO-21,733,WEHI-539,389,5.074139
LCLC-103H,175,Olaparib,255,5.4638
NAMALWA,414,IWP-2,195,0.554623
HCC-44,745,JNK Inhibitor VIII,197,5.257159
WSU-DLCL2,228,Ulixertinib,369,2.172479
MHH-ES-1,205,Paclitaxel,265,-4.559274
SK-CO-1,767,Mycophenolic acid,238,1.185928
G-292-Clone-A141B1,580,BMS-345541,71,5.566192
NCI-H2405,480,TWS119,368,3.301063
HO-1-N-1,380,MK-8776,234,4.42242
KURAMOCHI,346,(5Z)-7-Oxozeaenol,0,1.751171
KP-3,360,CAY10603,88,1.493928
KYSE-50,342,Motesanib,237,5.542719
IGROV-1,54,Tamoxifen,346,3.858341
NUGC-3,361,BAY-61-3606,61,2.669313
GRANTA-519,737,GW-2580,174,4.349811
NCI-H2172,626,CRT0105950,106,1.848956
NCI-H2081,469,Camptothecin,85,-4.028116
697,750,JW-7-24-1,200,-1.276926
CCRF-CEM,32,Sorafenib,337,1.444816
KARPAS-45,695,5-azacytidine,1,3.325029
FU97,303,Tipifarnib,356,1.130683
CCK-81,289,PHA-793887,283,3.961384
NCI-H1993,510,Cyclophosphamide,110,5.309441
HT-1080,556,Lestaurtinib,214,2.694575
NCI-H647,794,Sorafenib,337,2.678752
COLO-684,46,GSK2110183B,162,1.024993
NCI-H69,790,MIM1,228,4.365956
GB-1,370,OF-1,254,2.676038
TK10,26,CCT-018159,89,3.170894
L-540,159,ML323,235,3.154487
EW-7,58,TWS119,368,2.830588
OVKATE,271,POMHEX,292,1.814572
IHH-4,385,Tipifarnib,356,-2.167428
SW837,560,Thapsigargin,355,-4.376791
NCI-H358,474,Selisistat,326,5.61262
VA-ES-BJ,840,Voxtalisib,385,5.440729
SISO,213,AZD3759,44,3.371266
CAL-120,640,UNC0642,373,2.208295
LS-411N,427,GNF-2,156,0.786232
SNU-398,842,GSK591,171,4.928712
HCC38,441,ACY-1215,9,1.243613
OACp4C,253,Pictilisib,286,-0.012771
MIA-PaCa-2,305,Ruxolitinib,311,5.492406
T24,845,Pevonedistat,275,2.116654
NUGC-4,359,LGK974,216,6.699065
CAL-62,631,UNC0642,373,0.884739
GCIY,116,Navitoclax,240,0.634693
OVISE,353,AICA Ribonucleotide,15,8.22547
TK10,26,HG-5-113-01,177,1.457256
SK-MEL-30,211,Ibrutinib,184,4.443068
TGBC1TKB,97,LFM-A13,215,4.886047
AMO-1,681,alpha-lipoic acid,20,5.811895
639-V,687,Amuvatinib,22,4.773224
A673,571,OSI-930,258,3.434729
RT-112,219,UNC0638,372,4.180238
OAW-42,282,WZ3105,396,1.255935
LC-2-ad,136,OF-1,254,3.787901
MOLT-16,243,QS11,301,1.287657
SW1463,561,Wee1 Inhibitor,388,2.416285
SU-DHL-1,209,Pictilisib,286,1.371246
SK-N-AS,772,SB505124,320,5.157936
NH-12,366,Erlotinib,137,2.486518
NCI-H1623,501,AMG-319,21,5.123658
ML-1,250,Masitinib,224,3.951288
EJM,731,LMP744,221,-0.736085
SK-LMS-1,780,FTI-277,147,2.323682
AsPC-1,610,PHA-793887,283,4.210462
NU-DUL-1,251,Buparlisib,80,0.440601
NALM-6,242,Cediranib,93,1.313062
SU-DHL-1,209,JNJ38877605,196,4.679944
KYSE-140,717,PLX-4720,290,3.153277
KINGS-1,394,NVP-TAE684,252,1.940489
8-MG-BA,686,I-CBP112,183,4.326695
KALS-1,395,Olaparib,255,5.873265
KYSE-520,710,Dinaciclib,121,0.408796
OE19,281,kb NB 142-70,201,1.943774
LS-513,443,Olaparib,255,3.813458
T84,528,Palbociclib,266,4.924291
NCI-H716,526,GSK-J4,157,3.41564
OCI-LY-19,266,Selisistat,326,4.884632
JHH-4,398,Olaparib,255,4.498285
MONO-MAC-6,708,JW-7-24-1,200,-0.10477
HCC2218,521,Erlotinib,137,2.710567
NCI-H661,791,VE-822,376,3.607466
MDA-MB-175-VII,410,kb NB 142-70,201,3.738781
DAN-G,649,NSC-207895,246,5.102494
MDA-MB-330,409,SGC0946,331,2.858113
SK-N-AS,772,Pazopanib,269,4.220669
HCC1599,593,Ispinesib Mesylate,194,-3.943245
ABC-1,296,STF-62247,340,5.255581
FADU,582,AZD8055,56,0.884347
D-542MG,62,Omipalisib,256,-1.579923
CRO-AP2,650,I-BET-762,181,-1.069939
TALL-1,194,SB590885,322,1.061372
Hs-633T,434,Selisistat,326,4.571956
OCI-M1,264,GSK-J4,157,2.523419
HCC-366,746,Cediranib,93,3.005839
TYK-nu,151,VNLG/124,383,4.197029
OCUB-M,88,GSK1904529A,161,4.116012
COLO-205,555,Navitoclax,240,0.142572
OVK-18,85,YM201636,406,2.248709
DoTc2-4510,585,UNC0642,373,1.648789
HARA,383,Idelalisib,187,4.401812
SNU-61,57,OSI-027,257,5.226067
WM278,668,Pilaralisib,288,2.812442
JSC-1,453,Taselisib,348,2.550922
NCI-H2405,480,NVP-ADW742,250,7.717878
SW156,825,IOX2,190,2.894589
EN,729,YK-4-279,405,2.893077
RD,570,Pemetrexed,274,5.033686
KALS-1,395,CAY10603,88,0.941335
SCH,203,AZD3759,44,3.140486
L-540,159,Sapitinib,316,4.318011
PSN1,273,Teniposide,352,0.208482
BICR10,4,kb NB 142-70,201,5.00452
OC-314,74,Fedratinib,140,1.041395
VMRC-RCZ,149,Wee1 Inhibitor,388,7.454271
JHH-4,398,Savolitinib,318,2.016688
NCI-H446,661,Omipalisib,256,-4.949072
TE-15,94,5-azacytidine,1,2.814285
M059J,426,MK-2206,233,3.452914
KM12,53,WH-4-023,390,3.966485
SJRH30,766,AS601245,27,2.05866
IST-MEL1,78,AZ6102,36,2.435775
COLO-205,555,CI-1033,97,2.817449
SW1463,561,Topotecan,358,0.47495
ME-180,405,GW-2580,174,5.425476
NCI-H847,816,ZSTK474,412,2.651431
TC-71,233,Ibrutinib,184,4.540123
NCI-H1770,491,Amuvatinib,22,3.428969
KP-3,360,Cytarabine,111,3.220126
KCL-22,692,Sapitinib,316,4.369237
ONS-76,356,JQ1,198,2.785921
786-0,36,Serdemetan,329,4.437347
RKO,764,Trametinib,363,-2.014873
PEO1,274,AZD3759,44,4.118436
NCI-H2029,490,Epirubicin,133,-0.12283
SW1271,820,alpha-lipoic acid,20,9.304753
CAL-62,631,VE-822,376,4.915749
SW872,822,ABT737,7,2.965603
UMC-11,844,Cyclophosphamide,110,5.630706
MS751,412,BIBR-1532,67,4.370432
HT-115,328,NU7441,249,3.316971
L-540,159,QL-XII-47,300,1.773837
CFPAC-1,37,Panobinostat,267,-2.335077
B-CPAP,680,Refametinib,304,2.749468
WM278,668,SB590885,322,-0.002071
ETK-1,117,GSK2110183B,162,4.63755
MOLT-4,49,Vorinostat,384,0.485707
JSC-1,453,Phenformin,284,6.392101
PC-14,84,PAC-1,264,2.178196
A172,540,CAY10566,87,3.334243
WM278,668,Dacarbazine,114,6.784695
KARPAS-231,704,LIMK1 inhibitor BMS4,217,3.778502
LS-513,443,LIMK1 inhibitor BMS4,217,6.158223
SK-MM-2,210,OSU-03012,260,2.203089
NCI-H2029,490,Linifanib,218,2.473481
MONO-MAC-6,708,Cabozantinib,84,-3.710299
SNG-M,196,AGK2,14,3.723341
NB6,98,Alisertib,18,-2.742723
OACM5-1,252,LDN-193189,211,1.810402
SK-N-FI,770,FTY-720,148,2.09083
QGP-1,188,Tenovin-6,353,3.743253
RPMI-8402,220,NU7441,249,1.431634
BV-173,659,TPCA-1,362,1.482147
KYSE-70,709,TAK-715,344,4.187621
KARPAS-1106P,699,Temozolomide,350,5.493672
HLE,3,Pelitinib,273,1.505875
D-263MG,487,CPI-613,103,5.455071
D-283MED,602,Podophyllotoxin bromide,291,-2.215867
MKN1,113,ACY-1215,9,0.112153
TE-11,178,Midostaurin,227,-1.391341
LAMA-84,176,AZD1480,41,2.305345
NB4,241,Pevonedistat,275,-2.89065
OVCA433,662,PCI-34051,270,5.874286
COLO-800,314,A-770041,5,2.887658
P30-OHK,191,Cyclophosphamide,110,3.712325
SF126,202,Vorinostat,384,1.410143
8-MG-BA,686,Dacarbazine,114,6.12158
NCI-H1694,495,glutathione,154,9.462314
NCI-H2452,478,VX-11e,386,3.823569
SK-OV-3,6,AZD4547,45,4.639899
Farage,581,ABT737,7,2.010948
NB14,101,BMS-509744,72,3.173793
SNU-C1,856,PF-00299804,276,4.775776
NALM-6,242,AGI-5198,12,3.013045
HOS,543,Alpelisib,19,3.792175
CW-2,123,Idelalisib,187,4.965159
NCI-H1793,508,Schweinfurthin A,324,4.601199
RL95-2,762,GSK2578215A,163,5.454884
CAL-120,640,LJI308,220,6.414055
SW780,823,Wnt-C59,393,4.277824
L-540,159,LFM-A13,215,4.707314
SK-N-DZ,771,Pazopanib,269,0.493993
TE-6,158,ZSTK474,412,-0.236517
ME-1,168,Seliciclib,325,5.62569
SNU-398,842,Staurosporine,339,-2.455043
HEL,381,NSC-207895,246,2.608804
NCI-H226,44,Dactolisib,117,1.741476
EW-7,58,FMK,144,4.324136
SIG-M5,215,A-443654,4,-2.085557
IST-SL1,76,Doxorubicin,125,-0.370601
GCIY,116,T0901317,343,2.327517
COLO-684,46,PLX-4720,290,5.004738
AMO-1,681,Idelalisib,187,4.063246
HSC-4,376,CCT-018159,89,1.837176
EW-11,60,QL-XI-92,299,3.190787
Ca9-22,291,GSK429286A,170,4.53918
A2780,65,Vinorelbine,381,-5.104837
WM-115,688,Wee1 Inhibitor,388,5.121249
ME-180,405,Sabutoclax,314,-1.1178
KYSE-220,343,WYE-125132,394,1.045432
U-2-OS,852,Idelalisib,187,5.10854
SW1116,562,AGK2,14,3.205247
L-1236,146,PF-00299804,276,1.91038
SK-HEP-1,781,SU11274,341,4.636706
SF126,202,Olaparib,255,3.680493
SW620,565,CAY10603,88,-0.218663
BICR22,287,Zibotentan,409,5.644451
SF126,202,KIN001-270,204,5.543698
RXF393,12,PFI-3,280,5.425807
KYSE-50,342,CHIR-99021,96,3.494212
SUP-M2,235,PAC-1,264,2.72215
NCI-H146,460,PFI-1,279,4.122652
NCI-H596,796,Ara-G,25,6.153604
CAKI-1,641,Vorinostat,384,1.886146
P32-ISH,189,Tubastatin A,366,1.910497
KMOE-2,706,XMD8-85,402,2.331399
JVM-3,700,AKT inhibitor VIII,16,4.238072
DBTRG-05MG,588,SB505124,320,4.75841
G-402,577,BPTES,77,2.760589
MOLM-13,247,EPZ5676,136,3.165265
MC-IXC,872,AZD6738,54,-0.124295
LCLC-103H,175,CI-1033,97,3.268267
MS-1,92,Teniposide,352,-0.288523
no-10,363,AICA Ribonucleotide,15,8.6357
HC-1,749,GW843682X,176,-4.672299
PSN1,273,Trametinib,363,-2.793723
HCT-15,531,Mitoxantrone,231,-1.053815
no-10,363,Luminespib,222,-2.220183
NCI-H2023,506,AZD4877,46,-2.434955
SN12C,17,SB216763,319,6.114939
OCUM-1,357,AST-1306,29,4.672977
U-266,231,MG-132,226,-1.946594
MOLM-16,246,TW 37,367,-1.448277
G-292-Clone-A141B1,580,AZD8931,59,2.471692
RPMI-8402,220,SN-38,335,-6.738547
5637,544,Docetaxel,123,-5.01764
NCI-H69,790,Panobinostat,267,-3.098187
RL95-2,762,AZ628,37,2.056615
RCH-ACV,257,SU11274,341,1.825834
CMK,657,Capivasertib,86,3.76953
H9,875,Vinblastine,380,-5.839787
DOHH-2,671,Thapsigargin,355,-4.489327
OCI-LY-19,266,Paclitaxel,265,-6.335843
TK10,26,Taselisib,348,2.459189
MFE-296,164,GSK650394,172,2.183135
NB12,103,YM201636,406,2.38891
JHH-7,396,AMG-319,21,6.008867
TE-1,193,VE821,377,6.017563
ML-1,250,CP724714,102,5.34614
BFTC-905,678,Rucaparib,310,3.332366
MCF7,51,SL0101,334,4.202731
ES6,107,KIN001-266,203,2.769109
SW982,824,Vinblastine,380,-5.425585
U251,24,MG-132,226,-1.085042
NCI-H1105,420,Apitolisib,23,1.101065
SUP-T1,818,GSK343,169,4.60632
REH,255,Dabrafenib,113,4.536587
CCRF-CEM,32,TPCA-1,362,0.578983
IST-SL2,80,Thapsigargin,355,-4.936282
NCI-H1436,459,Ruxolitinib,311,4.905463
YKG-1,147,Thapsigargin,355,-4.863627
IGR-37,742,EPZ5676,136,5.773842
NCI-H2405,480,glutathione,154,11.886073
NCI-H661,791,QL-XI-92,299,3.820276
LNCaP-Clone-FGC,448,Ibrutinib,184,5.566613
NCI-H1915,515,AT-7519,30,0.50208
LK-2,340,PF-4708671,277,4.221162
TT2609-C02,232,PAC-1,264,2.023985
CaR-1,290,Rucaparib,310,4.17634
CAL-29,636,Fulvestrant,149,4.87695
KP-2,371,AZD7762,55,2.392466
ATN-1,81,Remodelin,305,3.261473
SW1783,827,AZD2014,42,0.044395
EM-2,730,PHA-793887,283,1.033761
K-562,532,Enzastaurin,132,1.492621
NUGC-4,359,AKT inhibitor VIII,16,4.016154
TE-11,178,PFI-1,279,3.411805
JURL-MK1,702,SGC0946,331,1.562779
KMRC-1,393,OSU-03012,260,2.056413
SIG-M5,215,Wee1 Inhibitor,388,0.300752
HT-144,458,IC-87114,185,4.968076
BEN,679,SGC0946,331,3.583531
RCC10RGB,83,CPI-637,104,6.623846
MPP-89,75,SN-38,335,-3.715978
OVCAR-3,21,MN-64,236,4.102632
ST486,857,Tivozanib,357,-0.269055
SK-OV-3,6,AZD2014,42,3.906813
UWB1.289,549,XMD8-92,403,3.165571
SK-GT-2,212,AZ6102,36,2.586518
GAK,336,Torin 2,359,-0.496203
23132-87,670,XAV939,398,4.113064
HCC1599,593,ICL-SIRT078,186,3.523454
KYSE-50,342,Doramapimod,124,5.01552
JM1,454,CMK,100,0.818817
PANC-02-03,808,GW-2580,174,5.980441
NCI-H508,524,CCT245232,91,-1.576966
NCI-H1651,498,CCT007093,90,4.926863
HT-29,41,Irinotecan,193,3.494112
NCI-H146,460,Pemetrexed,274,0.869595
SNU-387,841,Voxtalisib,385,3.307294
KARPAS-45,695,PAC-1,264,0.338244
DAN-G,649,Rucaparib,310,4.163942
NCI-H524,798,Ruxolitinib,311,4.31202
HCC1500,595,Tretinoin,364,2.613617
EW-3,59,AICA Ribonucleotide,15,7.901972
BICR31,5,Tubastatin A,366,5.655801
NCI-H747,525,Vismodegib,382,6.575288
RS4-11,760,Tozasertib,361,-3.261916
MDA-MB-453,114,Mycophenolic acid,238,1.822822
NCI-H358,474,Piperlongumine,289,2.032656
EW-3,59,LDN-193189,211,0.231816
HCC-33,747,NSC319726,248,-5.707065
EM-2,730,WHI-P97,391,4.281888
JHH-7,396,Camptothecin,85,0.532454
MDA-MB-415,408,CAY10603,88,3.098471
COLO-824,652,Fedratinib,140,1.791416
U-87-MG,850,Tivozanib,357,0.517118
FTC-133,68,A-366,3,5.802249
PA-1,809,AICA Ribonucleotide,15,7.2666
NCI-H69,790,LCL161,210,2.000182
SLVL,197,PRT062607,295,1.495108
NCI-H1355,415,FTI-277,147,0.991005
ESS-1,727,Doxorubicin,125,-3.942287
NCI-H596,796,IC-87114,185,5.909269
SW620,565,Bicalutamide,68,5.259029
NB14,101,XMD14-99,401,4.022547
D-392MG,335,Cediranib,93,0.841714
SU-DHL-4,222,GSK269962A,165,0.043418
SK-N-FI,770,WZ-1-84,395,4.435094
NH-12,366,NU7441,249,3.419169
NB17,100,CGP-60474,95,-1.065745
SCC-3,204,GSK650394,172,4.116866
IPC-298,738,Cytarabine,111,0.173368
COR-L105,313,PIK-93,287,1.262688
OVISE,353,CRT0105950,106,2.844526
M059J,426,SB216763,319,5.730624
SW1990,828,Nilotinib,243,5.282903
NCI-H226,44,Niraparib,244,5.096983
OE33,279,Osimertinib,259,2.333614
BICR22,287,Epirubicin,133,-1.822439
GA-10,576,AZ20,35,-0.368101
HEC-1,382,Bicalutamide,68,4.569818
SCC-9,754,AZD8055,56,1.376258
NCI-H209,466,PCI-34051,270,2.949938
MSTO-211H,413,Zoledronate,411,4.069577
NCI-H2347,481,AZD8835,58,3.625158
OVCAR-8,15,AZD5582,50,-1.06759
CAL-54,632,ICL-SIRT078,186,3.563086
DMS-79,318,Lenalidomide,213,4.617401
KYSE-140,717,Etoposide,138,1.396193
CAPAN-2,643,Capivasertib,86,6.16783
NB5,99,IPA-3,191,3.059636
JVM-3,700,GNF-2,156,2.966481
no-10,363,Gefitinib,152,4.114129
22RV1,300,SU11274,341,3.247931
SW948,559,NSC319726,248,0.380482
SK-N-AS,772,GSK1059615,159,-0.872747
A172,540,Fedratinib,140,2.112003
GAMG,734,Bexarotene,64,2.603334
EVSA-T,726,LIMK1 inhibitor BMS4,217,4.599705
Farage,581,CPI-613,103,4.32862
SNB75,18,XMD11-85h,399,4.392834
MKN1,113,CUDC-101,107,-0.508865
BC-3,607,Entinostat,130,-0.950752
SW1088,819,Schweinfurthin A,324,0.698586
MFE-280,165,Afuresertib,11,2.126928
NCI-H1436,459,CAY10566,87,3.641146
OAW-42,282,Omipalisib,256,-4.719262
KMH-2,400,RU-SKI 43,309,4.66907
C32,604,OSU-03012,260,6.172101
SCC-15,757,Doramapimod,124,5.030245
AMO-1,681,SB590885,322,3.881368
HCC1500,595,TW 37,367,1.696434
SU-DHL-8,236,TAK-715,344,2.375259
GA-10,576,Taselisib,348,0.243396
RL,763,AZD3759,44,1.875626
ZR-75-30,665,CI-1033,97,3.689172
HAL-01,129,Belinostat,62,-2.007774
KURAMOCHI,346,NPK76-II-72-1,245,3.035037
CAL-12T,639,AZD6094,52,3.273906
SW948,559,Acetalax,8,6.851392
NCI-H2170,473,Ribociclib,306,3.971137
Becker,292,Entinostat,130,3.050387
D-336MG,401,GSK-J4,157,3.416146
MEL-HO,167,Rapamycin,303,-2.90717
NCI-H1105,420,LCL161,210,4.879522
C-33-A,603,Methotrexate,225,-3.316521
EFM-19,735,Bosutinib,76,3.964243
HCC1569,594,Linsitinib,219,4.672608
Hey,664,AZD8186,57,3.733389
ML-1,250,Entospletinib,131,4.110082
LOXIMVI,52,AR-42,24,-0.340062
P32-ISH,189,AZD5991,51,-2.899068
LC4-1,341,Lenalidomide,213,2.574666
SNU-1,813,Kobe2602,205,5.109219
FU-OV-1,724,Shikonin,332,-0.309181
NCI-H2291,483,Pemetrexed,274,5.026161
LS-411N,427,AZ20,35,0.327052
23132-87,670,Paclitaxel,265,-3.802334
PF-382,259,Elesclomol,128,-1.182269
OPM-2,263,MIM1,228,3.426423
IST-SL2,80,WYE-125132,394,-2.220789
PANC-02-03,808,Apitolisib,23,0.458963
CAL-62,631,BMS-345541,71,3.522797
MFE-296,164,AZD5363,48,2.709502
DoTc2-4510,585,ABT737,7,1.086083
LXF-289,169,GSK429286A,170,3.765884
NCI-H1341,416,A-83-01,6,4.068081
ECC12,120,Vismodegib,382,5.057918
Daudi,568,CCT-018159,89,2.385705
NCI-H446,661,Daporinad,118,-6.879793
BFTC-905,678,SL0101,334,3.033148
NCI-H358,474,Y-39983,404,4.007619
ES7,112,Wee1 Inhibitor,388,2.178987
A427,546,FH535,141,-1.50228
SNU-C1,856,GNF-2,156,3.961214
SCC-25,756,AZD3514,43,3.422268
RERF-LC-KJ,186,VNLG/124,383,4.174281
COLO-205,555,Olaparib,255,3.762118
GCT,575,Tivozanib,357,0.549475
G-292-Clone-A141B1,580,Wnt-C59,393,4.397679
P32-ISH,189,Tanespimycin,347,-0.112439
OC-314,74,Pilaralisib,288,3.553507
NCI-H1573,503,Pelitinib,273,3.78087
OPM-2,263,Bromosporine,78,-0.088631
SU-DHL-8,236,BIX02189,69,3.102738
NOMO-1,369,Ibrutinib,184,4.950934
HT-1197,442,AZ6102,36,2.204116
JIMT-1,721,Taselisib,348,0.443344
RCH-ACV,257,PD173074,272,2.69756
NCI-H1793,508,Olaparib,255,6.641344
RPMI-8866,284,Kobe2602,205,3.212192
SW684,836,CAY10603,88,6.52317
TE-1,193,Temsirolimus,351,1.584799
JURL-MK1,702,Cisplatin,99,0.290653
LS-180,446,Rucaparib,310,3.593734
BT-549,33,CX-5461,108,3.414164
HCC70,440,Zoledronate,411,3.487859
CAL-85-1,628,MN-64,236,4.293983
U-266,231,UNC1215,374,2.085146
MCF7,51,LDN-193189,211,0.735369
NCI-H740,787,Sapitinib,316,5.643548
UWB1.289,549,RU-SKI 43,309,5.266849
SW1417,547,SB52334,321,5.408902
KYSE-140,717,MK-1775,232,-0.740164
NCI-H727,788,Pilaralisib,288,2.59733
HCC-366,746,CCT-018159,89,5.532134
A253,537,SB590885,322,4.048828
NB7,55,AZ628,37,2.405287
Ramos-2G6-4C10,873,HG6-64-1,179,0.265001
NCI-H292,295,GSK1059615,159,-0.358902
NCI-H1092,421,RU-SKI 43,309,4.951766
OVKATE,271,MK-8776,234,7.398223
MLMA,351,Sinularin,333,2.981141
MDST8,321,Bromosporine,78,3.847532
MONO-MAC-6,708,Afuresertib,11,-0.969202
NCI-H1437,489,Tivozanib,357,0.304669
Hs-445,435,XAV939,398,4.222791
NCI-H226,44,Luminespib,222,0.888473
T47D,20,PHA-793887,283,1.797737
RXF393,12,JW-7-24-1,200,-0.106004
D-247MG,402,(5Z)-7-Oxozeaenol,0,0.726939
Hs-578-T,40,VE821,377,2.503858
SW1417,547,NU7441,249,5.919073
A704,572,PFI-1,279,4.632869
SK-LU-1,779,AZ960,38,2.01744
VCaP,751,AST-1306,29,1.99584
Caov-3,619,Kobe2602,205,3.756466
NUGC-3,361,Docetaxel,123,-5.140955
DOK,333,Schweinfurthin A,324,-1.104352
SK-MES-1,774,PFI3,281,4.91931
SHP-77,752,Venetoclax,379,0.472913
NCI-H1993,510,AZD8835,58,4.003288
SK-OV-3,6,Tubastatin A,366,4.689065
EFM-192A,690,PRIMA-1MET,294,6.845121
SCC-9,754,MK-1775,232,1.877976
KY821,345,Afatinib,10,0.171625
NCI-H647,794,CD532,92,0.650462
TGBC1TKB,97,GW441756,175,4.430609
HT-115,328,BIX02189,69,5.364574
SNU-1040,72,PRT062607,295,4.957501
U-2-OS,852,Midostaurin,227,-1.020799
DU-4475,689,BMS-754807,74,0.325683
DG-75,647,alpha-lipoic acid,20,7.693655
CAL-148,638,AST-1306,29,1.114516
ABC-1,296,CP724714,102,3.0099
EFM-19,735,Panobinostat,267,-4.666821
C2BBe1,867,T0901317,343,5.376175
Farage,581,Pyridostatin,296,-0.872904
HCT-15,531,Alpelisib,19,2.006425
EW-3,59,Olaparib,255,1.064456
